Inicializando la cola con tamaño 10.
Elemento consumido: 39. Tamaño actual: 60.
Elemento consumido: 40. Tamaño actual: 59.
Elemento consumido: 41. Tamaño actual: 58.
Elemento consumido: 42. Tamaño actual: 57.
Elemento consumido: 43. Tamaño actual: 56.
Elemento consumido: 44. Tamaño actual: 55.
Elemento consumido: 45. Tamaño actual: 54.
Elemento consumido: 46. Tamaño actual: 53.
Elemento consumido: 47. Tamaño actual: 52.
Elemento consumido: 48. Tamaño actual: 51.
Elemento consumido: 49. Tamaño actual: 50.
Elemento consumido: 50. Tamaño actual: 49.
Elemento consumido: 51. Tamaño actual: 48.
Elemento consumido: 52. Tamaño actual: 47.
Elemento consumido: 53. Tamaño actual: 46.
Elemento consumido: 54. Tamaño actual: 45.
Elemento consumido: 55. Tamaño actual: 44.
Elemento consumido: 56. Tamaño actual: 43.
Elemento consumido: 57. Tamaño actual: 42.
Elemento consumido: 58. Tamaño actual: 41.
Elemento consumido: 59. Tamaño actual: 40.
Elemento consumido: 60. Tamaño actual: 39.
Elemento consumido: 61. Tamaño actual: 38.
Elemento consumido: 62. Tamaño actual: 37.
Elemento consumido: 63. Tamaño actual: 36.
Elemento consumido: 64. Tamaño actual: 35.
Elemento consumido: 65. Tamaño actual: 34.
Elemento consumido: 66. Tamaño actual: 33.
Elemento consumido: 67. Tamaño actual: 32.
Elemento consumido: 68. Tamaño actual: 31.
Elemento consumido: 69. Tamaño actual: 30.
Elemento consumido: 70. Tamaño actual: 29.
Elemento consumido: 71. Tamaño actual: 28.
Elemento consumido: 72. Tamaño actual: 27.
Elemento consumido: 73. Tamaño actual: 26.
Elemento consumido: 74. Tamaño actual: 25.
Elemento consumido: 75. Tamaño actual: 24.
Elemento consumido: 76. Tamaño actual: 23.
Elemento consumido: 77. Tamaño actual: 22.
Elemento consumido: 78. Tamaño actual: 21.
Cambio de tamaño de la cola a 40 elementos.
Elemento consumido: 79. Tamaño actual: 20.
Elemento consumido: 80. Tamaño actual: 19.
Elemento consumido: 81. Tamaño actual: 18.
Elemento consumido: 82. Tamaño actual: 17.
Elemento consumido: 83. Tamaño actual: 16.
Elemento consumido: 84. Tamaño actual: 15.
Elemento consumido: 85. Tamaño actual: 14.
Elemento consumido: 86. Tamaño actual: 13.
Elemento consumido: 87. Tamaño actual: 12.
Elemento consumido: 88. Tamaño actual: 11.
Cambio de tamaño de la cola a 20 elementos.
Elemento consumido: 89. Tamaño actual: 10.
Elemento consumido: 90. Tamaño actual: 9.
Elemento consumido: 91. Tamaño actual: 8.
Elemento consumido: 92. Tamaño actual: 7.
Elemento consumido: 93. Tamaño actual: 6.
Cambio de tamaño de la cola a 10 elementos.
Elemento consumido: 94. Tamaño actual: 5.
Elemento consumido: 95. Tamaño actual: 4.
Elemento consumido: 96. Tamaño actual: 3.
Cambio de tamaño de la cola a 5 elementos.
Elemento consumido: 97. Tamaño actual: 2.
Cambio de tamaño de la cola a 2 elementos.
Elemento consumido: 98. Tamaño actual: 1.
Elemento consumido: 99. Tamaño actual: 0.
